included_for_analysis,start_date,progress,duration,finished,informed_consent,fruit_answer,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,control_engagement_1,control_engagement_2,control_description,proximal_engagement_1,proximal_engagement_2,proximal_description,distal_engagement_1,distal_engagement_2,distal_description,concerned,serious_impact,likely,relative_importance,mitigation_intention_1,mitigation_intention_2,mitigation_intention_3,mitigation_intention_4,mitigation_intention_5,mitigation_intention_6,mitigation_intention_7,policy_support_1,policy_support_2,policy_support_3,policy_support_4,PD_1,PD_2,PD_3,PD_4,math,PD_5,PD_6,PD_7,PD_8,efficacy_1,efficacy_2,efficacy_3,efficacy_4,experience,damage_1,damage_2,age,gender,gender_text,race,ethnicity,education,fossil_fuel,zip_code,zip_code_duration,political_party,political_party_text,political_scale,condition
2,3/14/23 21:13,100,327,1,1,5,6,6,7,7,7,6,7,7,5,5,4,5,6,7,5,10,11,It’s Important to address climate change to prevent Loss of life ,,,,,,,6,6,5,5,5,3,2,4,2,4,2,4,3,5,5,2,3,4,4,5,2,3,3,5,4,5,4,5,2,,,6,1,,2,2,4,3,75217,1983,4,,1,control
2,3/14/23 8:20,100,330,1,1,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,12,12,Climate change is very important ,,,,,,,7,7,7,7,5,5,5,5,5,5,5,4,5,5,5,5,1,4,5,5,1,4,1,5,5,5,5,5,2,,,8,2,,1,2,2,3,79414,5,3,,3,control
0,3/13/23 8:18,100,192,1,1,5,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,12,12,I will say this information is very good,,,,,,,7,6,6,7,5,4,4,4,5,4,5,5,4,5,4,5,5,4,5,4,4,5,5,5,5,5,5,5,2,,,6,2,,2,2,3,3,76706,2009,4,,6,control
2,3/14/23 10:34,100,330,1,1,5,6,7,7,6,7,5,7,6,7,7,7,7,6,5,6,12,12,The climate change may not seem like a big issue to you but in reality it's a hell of an issue ,,,,,,,5,5,5,6,5,4,4,4,5,4,3,4,4,4,4,3,2,3,3,5,3,3,3,1,4,4,4,4,2,,,6,2,,1,2,2,3,78207,2021,3,,3,control
0,3/13/23 8:24,100,291,1,1,5,6,6,6,7,7,5,7,6,7,6,7,6,7,7,7,,,,,,,12,11,I describe about their thoughts climate change affected our society and create many natural digester that was about climate change.,7,6,5,6,5,4,4,3,5,4,5,5,5,4,5,5,4,5,5,1,1,4,4,4,4,5,4,5,2,,,7,1,,1,2,6,3,76878,1975,1,,1,distal
2,3/14/23 9:00,100,331,1,1,5,6,6,6,6,7,7,7,7,7,7,7,7,6,7,6,11,11,The paragraph was talking about the occurrence of more and more harsh storms and weather conditions and the effect it has on our environment.,,,,,,,1,1,1,1,5,4,2,2,5,5,4,1,1,1,1,3,3,3,3,5,3,3,3,3,3,3,3,3,2,,,7,2,,1,2,5,2,75147,2003,1,,6,control
0,3/14/23 8:05,100,195,1,1,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,12,12,Initial response time,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,3,3,3,3,1,3,5,5,5,5,5,5,5,1,4,4,5,1,,1,2,5,3,76426,2019,4,,2,distal
0,3/14/23 8:06,100,170,1,1,5,6,4,4,6,2,4,6,6,6,6,3,1,4,6,6,,,,11,11,It's a very long summary ,,,,4,5,5,7,4,4,5,4,4,5,2,2,4,5,3,2,5,4,5,4,2,5,4,3,3,4,2,4,1,6,4,5,1,,6,1,2,3,77504,2010,4,,2,proximal
0,3/14/23 8:07,100,129,1,1,5,5,5,4,6,5,5,5,3,4,6,3,5,6,4,5,,,,10,11,It’s amazing ,,,,4,4,4,4,2,2,4,2,5,1,3,3,1,3,4,3,3,4,4,3,3,2,3,5,3,3,2,4,2,,,7,2,,4,2,2,1,75116,10,3,,4,proximal
0,3/14/23 8:06,100,235,1,1,5,2,5,2,3,3,4,3,3,3,2,4,3,3,3,4,,,,,,,10,10,That they should as well check it ,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,,,4,2,,6,2,2,3,78207,I’m not to sure maybe 2010,5,,4,distal
2,3/14/23 10:02,100,333,1,1,5,6,5,6,6,6,6,6,6,6,4,5,4,5,5,6,11,11,Climate change is real ,,,,,,,5,5,4,5,4,1,1,1,1,4,4,3,3,3,3,3,2,4,4,5,2,2,3,4,4,4,4,4,2,,,9,2,,1,2,3,3,75006,2006,4,,4,control
1,3/14/23 8:27,100,450,1,1,5,7,7,6,7,7,7,7,7,6,6,5,4,5,7,6,11,10,very simplistic,,,,,,,5,5,7,5,4,2,1,2,1,3,3,4,3,4,4,2,2,2,2,5,4,2,2,2,3,3,3,4,1,4,5,8,1,,1,1,3,3,77386,45,4,,4,control
2,3/13/23 8:05,100,337,1,1,5,4,4,5,6,3,4,6,7,4,4,4,4,5,5,6,11,10,That climate change is a difficult thing to figure out by charts.,,,,,,,4,4,3,3,3,3,3,3,4,4,5,4,2,3,2,3,2,2,3,5,3,2,3,3,3,3,2,3,2,,,7,1,,2,2,3,3,78253,2008,3,,5,control
2,3/14/23 10:10,100,342,1,1,5,5,5,7,5,7,7,5,7,7,5,5,5,5,5,5,12,12,Climate change is real and it very much affects all of us on so many levels.,,,,,,,7,7,7,7,1,4,1,5,1,4,5,5,3,5,4,1,5,5,5,5,1,5,2,4,5,5,5,5,2,,,8,2,,1,2,3,3,78213,2018,1,,5,control
2,3/27/23 11:13,100,343,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,11,More disasters have been happening from climate change ,,,,,,,6,6,6,5,2,3,4,4,4,2,4,4,4,5,3,2,1,4,5,5,2,4,2,3,4,4,4,4,2,,,4,2,,1,2,2,3,78237,1year ,3,,4,control
0,3/14/23 8:10,100,330,1,1,5,4,5,4,5,4,5,4,5,5,5,5,4,5,5,5,12,12,oh gh jg hi jg hi jg gh jg go,,,,,,,4,4,5,1,3,3,4,4,3,3,3,4,2,4,4,5,5,5,5,5,5,5,4,5,3,3,3,3,2,,,7,2,,1,2,2,3,76088,2015,1,,3,control
0,3/14/23 8:12,100,215,1,1,5,6,5,4,5,6,6,7,5,6,7,5,6,6,6,5,,,,12,12,I thik its great thing to have ,,,,7,4,7,7,4,4,3,4,4,4,4,5,4,4,3,5,5,5,4,5,5,5,5,5,5,5,4,5,2,,,8,1,,1,2,4,2,77447,3,1,,4,proximal
2,3/14/23 8:37,100,344,1,1,5,5,1,7,7,7,7,7,7,7,1,1,1,1,1,6,12,12,We are having more extreme weather ,,,,,,,7,7,1,4,4,1,2,1,2,1,4,4,4,4,3,1,5,1,5,5,3,5,3,1,3,3,5,5,1,2,4,9,2,,1,2,1,3,77590,1,4,,4,control
0,3/14/23 8:08,100,484,1,1,5,7,6,6,7,7,6,7,6,4,4,4,4,4,4,4,,,,,,,10,10,Our planet is changing due to climate change ,6,6,6,6,3,3,1,1,3,4,3,4,3,3,3,2,2,4,4,1,2,1,1,4,3,3,3,4,1,7,5,9,2,,1,2,2,3,77575,2016,1,,6,distal
0,3/14/23 8:13,100,179,1,1,5,6,6,6,6,5,5,7,5,7,6,5,6,7,7,6,12,11,great,,,,,,,6,4,4,4,3,4,4,5,3,4,4,5,4,4,3,3,4,5,4,5,3,4,5,4,4,5,4,3,2,,,6,2,,2,2,2,3,75241,2010,1,,7,control
0,3/14/23 8:12,100,254,1,1,5,7,7,6,6,6,7,6,6,7,6,6,7,4,7,7,,,,12,12,"My friend is great man, because he is trust.",,,,6,6,6,6,4,5,4,5,4,4,4,4,4,4,5,5,5,5,5,5,2,5,5,5,4,5,4,5,1,5,6,6,2,,1,2,5,3,76014,2012,3,,4,proximal
0,3/14/23 8:37,100,168,1,1,5,6,6,5,7,5,6,4,5,4,3,5,5,2,6,5,10,8,I don’t know what they would say. ,,,,,,,6,4,2,5,4,2,4,3,1,3,4,1,3,4,2,3,3,3,3,5,3,4,4,3,4,3,1,2,2,,,4,2,,1,2,2,3,75402,7 months ago,1,,4,control
2,3/14/23 17:13,100,345,1,1,5,7,7,7,7,7,7,7,7,7,7,6,7,7,7,4,11,11,Take better care of the environment. ,,,,,,,4,5,4,4,4,2,1,4,2,4,4,3,3,3,2,3,3,3,4,5,3,3,2,3,4,3,3,4,2,,,5,2,,6,1,4,3,75032,2006,3,,4,control
2,3/14/23 9:38,100,352,1,1,5,5,5,5,6,5,6,6,7,3,3,4,6,5,6,6,12,10,"The IPCC reports that severe weather events are becoming even more common with accelerating climate change. These events include all manners of things, including fires and hurricanes. ",,,,,,,5,6,5,6,3,4,3,4,1,1,5,5,4,5,5,1,1,5,5,5,2,1,2,5,4,4,5,5,2,,,5,1,,1,2,5,3,75167,2010,4,,1,control
0,3/14/23 8:10,100,471,1,1,5,4,6,6,7,6,7,7,7,7,5,7,7,5,7,7,10,10,Nothing ,,,,,,,1,1,1,1,1,1,1,1,5,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,,,6,2,,1,2,2,3,76704,2022,1,,7,control
2,3/18/23 0:44,100,363,1,1,5,6,5,7,7,5,6,6,7,6,6,5,7,6,6,5,12,11,More extreme weather is happening,,,,,,,6,6,6,4,2,4,5,4,2,1,4,4,3,4,4,2,3,4,5,5,2,3,4,4,4,5,5,5,2,,,6,2,,"1,6",1,4,3,79937,2009,5,,4,control
2,3/14/23 8:23,100,365,1,1,5,7,7,6,4,5,6,4,3,7,3,6,6,7,7,7,11,10,WEATHER CHANGES MIGHT BE SEEN IN THE UPCOMING YEARS DUE TO CLIMATE CHANGE,,,,,,,4,4,3,3,3,1,1,1,3,1,1,3,1,3,3,3,2,3,4,5,2,2,3,1,4,3,3,4,1,2,3,5,4,f,"1,6",1,3,3,78572,1994,4,,4,control
0,3/14/23 8:13,100,363,1,1,5,7,6,7,7,6,6,7,6,6,6,4,2,5,5,5,,,,,,,12,12,Its about the cyclone that devastated Africa and how it affected the people.,6,7,6,6,2,2,4,4,2,2,5,4,4,5,4,1,2,5,5,1,2,2,2,5,4,5,4,4,1,5,5,8,1,,1,2,3,3,75965,1994,4,,2,distal
2,3/14/23 12:36,100,366,1,1,5,6,5,6,7,3,7,3,7,4,3,3,2,3,3,3,12,12,This paragraph is all about the impact of climate change and how it effects everyone and everything ,,,,,,,7,7,5,7,5,1,1,1,1,5,5,4,3,5,3,2,3,4,3,5,2,3,3,3,4,4,4,4,2,,,6,2,,1,2,4,3,75228,2018,4,,3,control
2,3/14/23 10:07,100,389,1,1,5,6,6,6,7,7,7,7,7,7,7,6,5,7,7,7,12,11,The panel on climate change affects everyone and everything. ,,,,,,,5,6,5,4,2,1,2,3,4,2,4,4,3,3,3,3,2,3,4,5,1,2,1,4,3,3,3,4,2,,,7,2,,2,2,4,3,79603,2004,4,,4,control
2,4/2/23 22:20,100,391,1,1,5,2,5,5,7,3,4,6,7,4,3,2,2,3,3,4,12,11,Climate change is killing people by causing extreme weather events. ,,,,,,,1,3,1,1,5,1,1,1,5,5,1,5,3,1,3,5,5,1,2,5,5,5,5,1,1,1,1,1,2,,,5,2,,1,2,3,3,77801,2020,1,,5,control
2,3/18/23 13:23,100,392,1,1,5,7,7,7,7,7,7,7,7,6,6,7,7,6,7,7,12,12,The weather is becoming more extreme causing more damage ,,,,,,,5,7,3,5,5,2,1,4,2,4,4,3,2,5,3,2,2,4,5,5,2,2,3,1,4,3,3,4,1,4,5,6,2,,6,1,2,3,78415,1984,4,,4,control
2,3/14/23 8:17,100,393,1,1,5,2,2,2,3,2,2,5,7,6,2,4,3,6,5,4,12,8,It was propaganda on climate change.,,,,,,,1,1,1,1,5,5,1,1,5,5,1,1,1,1,3,3,3,3,3,5,3,3,3,3,3,3,3,3,1,2,6,7,2,,1,2,3,3,79407,2021,1,,7,control
0,3/14/23 9:03,100,821,1,1,5,7,7,7,7,3,7,7,7,7,7,4,6,7,7,6,11,11,I am not sure what to do or what I would say to be honest ,,,,,,,3,4,2,5,2,2,2,1,4,1,3,2,3,4,1,2,2,5,3,5,4,1,2,4,2,3,3,3,1,4,3,7,1,,1,1,2,3,79603,2007,1,,5,control
2,3/14/23 8:10,100,394,1,1,5,2,5,5,5,5,4,6,6,3,4,4,5,5,6,4,12,8,this paragraph describes climate change.  there is absolutely no evidence to support any of the claims it makes.,,,,,,,1,1,1,1,5,1,1,3,1,1,1,2,1,2,2,5,1,1,1,5,5,1,5,1,1,1,1,1,1,2,6,6,1,,1,1,5,3,75218,2019,1,,7,control
2,3/18/23 3:33,100,395,1,1,5,3,6,6,4,6,6,6,5,6,3,5,4,5,5,4,11,11,That weather is getting a lot worst and we could all die and so we should appreciate what we have right now,,,,,,,6,6,7,5,5,2,4,4,4,4,4,4,3,4,4,2,3,4,4,5,2,2,1,4,2,2,2,2,2,,,7,2,,1,2,3,3,78238,1980,3,,4,control
2,4/2/23 10:51,100,402,1,1,5,4,3,2,7,1,1,7,7,7,2,3,4,5,4,5,12,8,"The UN is looking for more money from the WEIRD countries: they're still pushing climate change years after previous deadlines for ""the end of the world"" failed to pan out. As usual, if we don't give governments, and especially international organizations, all the money they ask for, we're, well, doomed: doomed, I tell ya!",,,,,,,1,2,1,1,5,2,1,1,5,5,1,2,1,1,1,3,3,3,3,5,5,3,3,5,1,1,1,1,2,,,8,2,,1,2,3,3,75032,2019,1,,7,control
0,3/14/23 8:15,100,376,1,1,5,6,5,6,5,6,6,6,6,6,5,6,6,6,6,6,,,,11,11,That climate change is fixing to bring alot of destructive weather in the future ,,,,6,6,4,6,4,4,4,4,4,2,4,4,4,4,4,2,2,4,4,4,2,2,3,4,4,4,4,4,2,,,7,1,,2,2,5,3,76006,2012,4,,5,proximal
0,3/14/23 8:16,100,385,1,1,5,5,5,5,7,7,7,5,7,7,5,7,6,2,7,4,,,,11,11,"The weather has increasingly become dangerous. Lots of heavy rain, storms and more just like the hurricane back in 2019. ",,,,5,7,4,5,2,4,1,2,2,3,1,4,3,4,3,3,2,3,5,1,2,2,2,2,4,4,4,4,2,,,5,2,,2,2,5,3,76017,2022,5,,4,proximal
2,3/16/23 20:20,100,403,1,1,5,6,6,6,7,7,5,7,5,7,5,7,7,5,7,7,12,11,The weather is become worse day by day every body need to use less car and more public transport.,,,,,,,7,7,7,7,3,3,4,4,5,5,5,4,5,5,3,1,5,4,4,5,3,5,1,2,5,4,5,4,2,,,4,1,,1,2,2,"2,3",77063,1year,3,,4,control
2,3/14/23 10:04,100,405,1,1,5,4,6,5,7,1,6,7,7,7,5,3,3,7,5,7,12,8,That people who haven't done their research and due diligence are believing flawed science that says that weather events are more severe when they actually aren't.,,,,,,,1,1,1,1,4,3,1,1,2,4,4,1,1,1,1,5,1,1,1,5,5,1,5,5,1,1,1,1,1,4,4,8,2,,1,2,3,3,77517,1997,1,,4,control
2,3/16/23 9:51,100,406,1,1,5,4,4,4,6,5,5,6,6,4,3,4,4,6,6,5,11,11,News bit on global warming ,,,,,,,5,5,5,5,3,4,3,4,2,2,4,4,4,4,4,2,2,4,4,5,2,2,2,4,3,3,4,4,1,1,1,6,1,,1,2,5,3,75201,2010,4,,2,control
1,3/14/23 9:39,100,894,1,1,5,7,7,7,7,7,7,7,7,4,3,4,6,5,6,6,9,11,It's very complicated to understand ,,,,,,,7,7,5,5,2,4,5,4,2,1,2,4,2,5,3,2,3,4,5,5,1,1,2,4,4,5,3,4,2,,,5,1,,1,2,2,3,78201,2000,3,,4,control
2,3/13/23 8:00,100,409,1,1,5,3,3,5,5,6,4,5,5,4,3,3,3,3,4,4,12,10,"Yes, weather systems have changed, but there are so many other problems facing the US today that need to come first.",,,,,,,2,3,2,2,4,1,1,1,2,3,4,2,3,2,2,3,3,3,3,5,4,3,4,3,3,4,3,3,1,2,3,8,2,,1,2,5,3,77074,2018,1,,6,control
2,3/27/23 17:52,100,409,1,1,5,7,5,7,7,7,6,7,6,6,6,5,3,6,6,6,12,12,"The climate change is scary and has already had a negative, dangerous affect on human life",,,,,,,7,7,7,7,5,1,1,5,1,1,5,5,5,5,5,1,1,5,5,5,1,1,1,4,5,5,5,4,2,,,9,1,,1,2,5,3,76021,2007,4,,3,control
2,3/27/23 11:27,100,414,1,1,5,3,4,5,5,4,4,6,6,5,5,2,2,4,4,3,11,11,Propaganda of the treehuggers.,,,,,,,2,2,2,2,3,2,2,2,4,2,3,1,1,1,1,5,1,1,1,5,5,5,4,3,1,1,1,1,2,,,8,1,,1,2,3,3,78028,2022,1,,7,control
2,4/2/23 21:17,100,416,1,1,5,6,7,7,7,4,7,7,7,7,7,5,4,3,7,7,12,10,It talks about how bad the weather is becoming. ,,,,,,,4,5,1,1,3,1,1,5,5,1,1,5,5,5,5,5,5,3,3,5,5,5,5,1,3,5,5,5,2,,,7,2,,1,2,1,3,76374,1974,3,,4,control
